Timestamp,AbsoluteForce,Distance(mm)
1726166051.503877112,0.259593,0
1726166051.545239891,0.115895,0
1726166051.584410066,0.203777,0
1726166051.635291128,0.135582,0
1726166051.675439841,0.166035,0
1726166051.726800036,0.0901589,0
1726166051.800675149,0.202407,0
1726166051.865393040,0.187878,0
1726166051.908647576,0.101985,0
1726166051.938756889,0.121036,0
1726166051.985828146,0.179365,0
1726166052.030798894,0.153691,0
1726166052.070165759,0.117541,0
1726166052.111001323,0.120855,0
1726166052.158899521,0.16236,0
1726166052.201056485,0.126509,0
1726166052.240765805,0.145615,0
1726166052.281989303,0.217182,0
1726166052.316661504,0.0925733,0
1726166052.368039467,0.119184,0
1726166052.416297888,0.135778,0
1726166052.453687090,0.114257,0
1726166052.512687035,0.16035,0
1726166052.557958478,0.111288,0
1726166052.607226111,0.074646,0
1726166052.650402228,0.139262,0
1726166052.693647118,0.11043,0
1726166052.742009710,0.160502,0
1726166052.782634366,0.112552,0
1726166052.829171529,0.135314,0
1726166052.878181274,0.153297,0
1726166052.910591858,0.249127,0
1726166052.950549331,0.097021,0
1726166053.002214635,0.0656138,0
1726166053.045252768,0.111742,0
1726166053.087080922,0.176898,0
1726166053.128966553,0.238238,0
1726166053.168820745,0.186447,0
1726166053.212883409,0.162182,0
1726166053.267770648,0.102921,0
1726166053.312815191,0.167327,0
1726166053.356400138,0.0514901,0
1726166053.410777122,0.0905673,0
1726166053.457250913,0.0786296,0
1726166053.507488454,0.382644,0
1726166053.576234327,0.273504,0
1726166053.623313775,0.492058,0
1726166053.655633607,0.191097,0
1726166053.697314438,0.201892,0
1726166053.740746941,0.100259,0
1726166053.797086956,0.409665,0
1726166053.821238516,0.433138,0
1726166053.888586371,0.215179,0
1726166053.942314679,0.270452,0
1726166054.030821763,0.396161,0
1726166054.150668867,0.149729,0
1726166054.264364812,0.0478026,0
1726166054.314559717,0.423819,0
1726166054.371802479,0.451781,0
1726166054.418958574,0.162343,0
1726166054.470534517,0.248668,0
1726166054.510735107,0.246803,0
1726166054.552718649,0.460838,0
1726166054.605036884,0.192038,0
1726166054.642654286,0.288776,0
1726166054.682673581,0.258541,0
1726166054.728689689,0.166354,0
1726166054.769154346,0.508151,0
1726166054.811477976,0.261017,0
1726166054.846752970,0.227165,0
1726166054.899898459,0.329786,0
1726166054.937565195,0.491616,0
1726166054.977470047,0.255368,0
1726166055.017378889,0.211863,0
1726166055.061952013,0.22007,0
1726166055.116905588,0.215698,0
1726166055.159433100,0.602036,0
1726166055.205914445,0.25174,0
1726166055.240435763,0.286925,0
1726166055.280781149,0.597809,0
1726166055.325611913,0.359429,0
1726166055.372713100,0.431745,0
1726166055.421703289,0.21763,0
1726166055.482255671,0.505087,0
1726166055.531826553,0.0701466,0
1726166055.580115610,0.26436,0
1726166055.613025562,0.227532,0
1726166055.659871981,0.469594,0
1726166055.705120531,0.141157,0
1726166055.751686340,0.580601,0
1726166055.799660986,0.111093,0
1726166055.841615171,0.363206,0
1726166055.876681102,0.353962,0
1726166055.918157609,0.240438,0
1726166055.966044942,0.379795,0
1726166056.024635814,0.227354,0
1726166056.073260019,0.0596738,0
1726166056.114182359,0.174093,0
1726166056.169988136,0.262076,0
1726166056.203428530,0.372156,0
1726166056.238554151,0.373908,0
1726166056.289913757,0.208907,0
1726166056.317205220,0.52209,0
1726166056.376778360,0.13748,0
1726166056.415525824,0.0898133,0
1726166056.453856169,0.405535,0
1726166056.497685534,0.116001,0
1726166056.541962491,0.174914,0
1726166056.587968007,0.15751,0
1726166056.644283295,0.336607,0
1726166056.696277768,0.167722,0
1726166056.753464541,0.112677,0
1726166056.788458163,0.24367,0
1726166056.829937875,0.218319,0
1726166056.870463666,0.192853,0
1726166056.910096063,0.204471,0
1726166056.965133376,0.607779,0
1726166057.005250002,0.353747,0
1726166057.037248883,0.231946,0
1726166057.076990578,0.177743,0
1726166057.111602103,0.361252,0
1726166057.154703059,0.504336,0
1726166057.195215014,0.794675,0
1726166057.238962547,0.932048,0
1726166057.288287910,1.19697,0
1726166057.334867066,1.45172,0
1726166057.371684355,1.54975,0
1726166057.432630857,1.91047,0
1726166057.476553849,2.22937,0
1726166057.521509498,2.58911,0
1726166057.558415822,2.72041,0
1726166057.599718786,3.31559,0
1726166057.636373609,3.04918,0
1726166057.682037752,3.51082,0
1726166057.721866083,3.70375,0
1726166057.777699633,4.12347,0
1726166057.818318705,4.03827,0
1726166057.861211875,4.39447,0
1726166057.902400357,4.76039,0
1726166057.937062742,4.82021,0
1726166057.983133080,5.23456,0
1726166058.046878423,5.36329,0
1726166058.131851558,5.67565,0
