Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0810107614623872","1,69806255825153E-07","0,10599645436339",0,0,0,"97,9298238151877","3,12727259199142","2,14569120944394E-06","0,467210023955441","5,52628001885015","-1,97817775090254E-06","7,58545932293491",0,0,0,0,0,0,package://moveit_quantec/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/base_link.STL,,moveitBase-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"-0,0084665","0,019734","0,25939",0,0,0,"94,945","2,6472","-0,62895","-0,35979","6,3022","-0,17581","5,5156",0,0,0,0,0,0,package://moveit_quantec/meshes/link_1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/link_1.STL,,moveitLink1_v2-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,"-0,235",0,"1,5708","0,014047",0,base_link,0,0,1,,,,,,,,,,,,
link_2,"0,0015545","-0,23159","0,40897",0,0,0,"82,176","12,398","-9,2862E-05","0,082654","12,541","0,043185","0,91874",0,0,0,0,0,0,package://moveit_quantec/meshes/link_2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/link_2.STL,,moveitLink2_v1-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,"0,33",0,"0,41772",0,"-0,0391",0,link_1,0,1,0,,,,,,,,,,,,
link_3,"0,35711","-0,015416","0,10193",0,0,0,"47,124","0,41866","-0,086691","-0,15996","3,9994","-0,042155","3,9284",0,0,0,0,0,0,package://moveit_quantec/meshes/link_3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/link_3.STL,,moveitLink3-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,0,"1,15",0,"-0,52738",0,link_2,0,1,0,,,,,,,,,,,,
link_4,"0,27937","0,0063685","-0,00017456",0,0,0,"4,6744","0,011503","-0,0037737","7,4652E-05","0,085293","-0,00012925","0,085285",0,0,0,0,0,0,package://moveit_quantec/meshes/link_4.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/link_4.STL,,moveitLink4-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,"0,78147","-0,0086752","0,115","0,037095",0,0,link_3,1,0,0,,,,,,,,,,,,
link_5,"0,046286","0,05529","7,0521E-05",0,0,0,"8,3467","0,035209","0,0040294","-2,9627E-05","0,059372","-0,00013764","0,046632",0,0,0,0,0,0,package://moveit_quantec/meshes/link_5.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/link_5.STL,,moveitLink5-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,"0,44853",0,0,0,"0,9269",0,link_4,0,1,0,,,,,,,,,,,,
link_6,"0,021186","9,6657E-07","-3,3846E-07",0,0,0,"0,97276","0,0044336","-1,5389E-09","6,5721E-10","0,0023152","-1,9424E-09","0,0023149",0,0,0,0,0,0,package://moveit_quantec/meshes/link_6.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://moveit_quantec/meshes/link_6.STL,,moveitLink6-1,Origin_joint_6,Axis_joint_6,joint_6,continuous,"0,20228","1,3733E-05",0,"-2,218",0,0,link_5,1,0,0,,,,,,,,,,,,
